pb_1,pb_2,pb_3,v_1,v_2,v_3
0.1,0,0,0,0,0
0.10005,4.3543e-05,4.5607e-06,0.096582,0.087087,0.0091214
0.10018,0.00017648,2.7632e-05,0.1699,0.1788,0.037022
0.10038,0.00040102,8.8278e-05,0.21917,0.27028,0.084269
0.10061,0.00071456,0.00020563,0.2449,0.3568,0.15043
0.10085,0.0011099,0.0003979,0.24875,0.43395,0.23411
0.1011,0.0015759,0.00068146,0.23348,0.49788,0.33303
0.10131,0.0020975,0.0010701,0.2028,0.54551,0.4442
0.1015,0.0026576,0.0015742,0.16112,0.57462,0.56402
0.10163,0.0032369,0.0022005,0.11332,0.58403,0.68854
0.10172,0.0038157,0.0029516,0.064508,0.57353,0.81363
0.10176,0.0043745,0.003826,0.019752,0.544,0.93521
0.10177,0.0048951,0.0048183,-0.016201,0.49722,1.0495
0.10174,0.0053616,0.0059195,-0.039146,0.43587,1.153
0.1017,0.0057612,0.0071175,-0.045631,0.36331,1.243
0.10166,0.0060846,0.0083978,-0.033123,0.2834,1.3175
0.10164,0.0063264,0.0097443,-0.00011703,0.20032,1.3754
0.10167,0.0064858,0.01114,0.0538,0.11834,1.4162
0.10176,0.0065657,0.012568,0.12795,0.041567,1.4405
0.10193,0.0065734,0.014014,0.22063,-0.026207,1.4498
0.10221,0.0065194,0.015461,0.32919,-0.08174,1.4461
0.1026,0.0064173,0.016901,0.45021,-0.12248,1.4323
0.10311,0.0062827,0.018323,0.57969,-0.14667,1.4115
0.10376,0.0061327,0.019722,0.71325,-0.15346,1.3873
0.10454,0.0059845,0.021097,0.84638,-0.14289,1.3632
0.10545,0.0058551,0.02245,0.97465,-0.1159,1.3429
0.10648,0.00576,0.023787,1.094,-0.074262,1.3296
0.10763,0.0057127,0.025114,1.2007,-0.020465,1.3262
0.10888,0.0057237,0.026445,1.2921,0.042423,1.3349
0.11021,0.0058003,0.027791,1.366,0.11092,1.3574
0.1116,0.0059464,0.029167,1.4214,0.18133,1.3944
0.11304,0.0061621,0.030587,1.458,0.2499,1.4462
0.11451,0.0064435,0.032067,1.4766,0.31307,1.512
0.11598,0.0067839,0.033618,1.479,0.3676,1.5905
0.11746,0.0071731,0.035253,1.4676,0.41076,1.6795
0.11891,0.0075987,0.036981,1.4455,0.44047,1.7767
0.12034,0.0080466,0.038809,1.4164,0.45535,1.879
0.12175,0.0085017,0.04074,1.3841,0.45481,1.9832
0.12311,0.0089486,0.042775,1.3525,0.4391,2.0863
0.12445,0.0093728,0.04491,1.3256,0.40919,2.1852
0.12577,0.0097608,0.047141,1.3068,0.3668,2.2769
0.12707,0.010101,0.049459,1.2991,0.31424,2.3591
0.12837,0.010386,0.051854,1.305,0.25431,2.4299
0.12969,0.010608,0.054313,1.3259,0.19012,2.4879
0.13103,0.010765,0.056823,1.3627,0.12495,2.5327
0.13242,0.010859,0.059371,1.4153,0.062087,2.5642
0.13387,0.010892,0.061945,1.4829,0.0046036,2.5831
0.13539,0.010872,0.064532,1.5638,-0.04474,2.5909
0.137,0.010808,0.067122,1.6556,-0.08366,2.5893
0.13871,0.010711,0.069707,1.7556,-0.11045,2.5807
0.14052,0.010594,0.072281,1.8603,-0.12405,2.5678
0.14243,0.01047,0.074842,1.9665,-0.12413,2.5532
0.14445,0.010352,0.077388,2.0706,-0.11101,2.5398
0.14657,0.010254,0.079923,2.1692,-0.085731,2.5302
0.14878,0.010186,0.082452,2.2595,-0.049915,2.5268
0.15108,0.010158,0.084981,2.3387,-0.0057026,2.5317
0.15346,0.010177,0.08752,2.405,0.044373,2.5464
0.15589,0.010248,0.090079,2.4572,0.097525,2.5719
0.15836,0.010372,0.09267,2.4946,0.15086,2.6086
0.16087,0.010549,0.095302,2.5175,0.20152,2.6563
0.16339,0.010773,0.097987,2.5268,0.24685,2.7142
0.16592,0.011038,0.10073,2.5241,0.28451,2.781
0.16843,0.011337,0.10355,2.5116,0.31259,2.8549
0.17094,0.011658,0.10645,2.4918,0.32972,2.9339
0.17342,0.011991,0.10942,2.4677,0.33512,3.0156
0.17587,0.012322,0.11248,2.4423,0.3286,3.0976
0.1783,0.012642,0.11562,2.4186,0.31061,3.1773
0.18071,0.012938,0.11883,2.3995,0.28219,3.2524
0.1831,0.013202,0.12212,2.3876,0.24485,3.321
0.18549,0.013425,0.12547,2.385,0.20059,3.3813
0.18788,0.013601,0.12888,2.3932,0.15168,3.432
0.19028,0.013727,0.13233,2.4133,0.10061,3.4724
0.19271,0.013802,0.13581,2.4455,0.049937,3.5023
0.19518,0.013828,0.13933,2.4895,0.0021324,3.5218
0.1977,0.013809,0.14285,2.5444,-0.040512,3.5319
0.20027,0.013751,0.14639,2.6086,-0.076016,3.5336
0.20292,0.013661,0.14992,2.6801,-0.1028,3.5287
0.20563,0.01355,0.15344,2.7566,-0.11977,3.5191
0.20843,0.013427,0.15695,2.8355,-0.12635,3.5068
0.21131,0.013303,0.16045,2.914,-0.12251,3.494
0.21426,0.013187,0.16394,2.9896,-0.10876,3.4828
0.21728,0.01309,0.16742,3.0596,-0.0861,3.4752
0.22037,0.013019,0.1709,3.1221,-0.05598,3.473
0.22352,0.01298,0.17437,3.1751,-0.020203,3.4776
0.22672,0.01298,0.17786,3.2174,0.01917,3.4899
0.22995,0.013019,0.18136,3.2483,0.059932,3.5105
0.23321,0.013099,0.18488,3.2676,0.099846,3.5395
0.23648,0.013218,0.18844,3.2758,0.13676,3.5767
0.23976,0.01337,0.19204,3.2737,0.16871,3.6211
0.24302,0.013552,0.19568,3.2629,0.19403,3.6717
0.24628,0.013754,0.19938,3.2451,0.21142,3.7268
0.24951,0.01397,0.20314,3.2225,0.22002,3.7849
0.25272,0.01419,0.20695,3.1974,0.21943,3.844
0.25591,0.014405,0.21083,3.1722,0.20974,3.9022
0.25907,0.014605,0.21476,3.1491,0.19148,3.9577
0.26221,0.014784,0.21874,3.1304,0.16564,4.0087
0.26533,0.014933,0.22277,3.1178,0.13356,4.0538
0.26845,0.015049,0.22684,3.1128,0.096902,4.0918
0.27156,0.015126,0.23095,3.1164,0.057502,4.1219
0.27468,0.015163,0.23508,3.1291,0.01732,4.1437
0.27782,0.015161,0.23923,3.151,-0.021681,4.1571
0.28099,0.015121,0.24339,3.1816,-0.057639,4.1627
0.28419,0.015048,0.24756,3.2199,-0.08888,4.161
0.28743,0.014947,0.25171,3.2647,-0.114,4.1533
0.29072,0.014824,0.25586,3.3141,-0.13195,4.1409
0.29406,0.014687,0.25999,3.3663,-0.14204,4.1254
0.29745,0.014544,0.26411,3.4193,-0.14403,4.1083
0.3009,0.014403,0.26821,3.4709,-0.13808,4.0914
0.30439,0.014271,0.27229,3.5191,-0.12475,4.0762
0.30794,0.014156,0.27636,3.5622,-0.10499,4.0643
0.31152,0.014064,0.28042,3.5985,-0.080038,4.0569
0.31513,0.013998,0.28448,3.6269,-0.051399,4.0549
0.31877,0.013962,0.28854,3.6465,-0.020722,4.059
0.32242,0.013957,0.2926,3.6571,0.010262,4.0694
0.32607,0.013982,0.29668,3.6586,0.039842,4.086
0.32973,0.014035,0.30078,3.6517,0.066408,4.1085
0.33337,0.014112,0.3049,3.6371,0.088539,4.1361
0.337,0.014209,0.30905,3.6162,0.10507,4.1678
0.3406,0.014319,0.31324,3.5904,0.11513,4.2023
0.34418,0.014436,0.31746,3.5616,0.11822,4.2382
0.34773,0.014552,0.32171,3.5316,0.11419,4.274
0.35124,0.014661,0.326,3.502,0.10327,4.3084
0.35473,0.014756,0.33033,3.4748,0.086045,4.3399
0.3582,0.01483,0.33468,3.4515,0.063396,4.3672
0.36164,0.01488,0.33906,3.4332,0.03648,4.3894
0.36506,0.014902,0.34346,3.4212,0.0066477,4.4056
0.36848,0.014893,0.34787,3.4158,-0.024622,4.4153
0.3719,0.014853,0.35228,3.4175,-0.055805,4.4184
0.37532,0.014782,0.3567,3.426,-0.085408,4.415
0.37876,0.014683,0.36111,3.4408,-0.11205,4.4056
0.38221,0.01456,0.36551,3.4611,-0.13452,4.3908
0.38568,0.014417,0.36989,3.4856,-0.15184,4.3716
0.38918,0.014259,0.37425,3.5129,-0.16334,4.3491
0.39271,0.014093,0.37859,3.5416,-0.16862,4.3247
0.39626,0.013925,0.3829,3.5701,-0.16764,4.2994
0.39985,0.013761,0.38719,3.5966,-0.16067,4.2748
0.40345,0.013606,0.39145,3.6198,-0.14828,4.2519
0.40708,0.013467,0.39569,3.6383,-0.13131,4.2318
0.41073,0.013346,0.39992,3.6511,-0.11081,4.2153
0.41438,0.013246,0.40413,3.6572,-0.088008,4.2032
0.41804,0.01317,0.40832,3.6564,-0.064216,4.1958
0.42169,0.013118,0.41252,3.6483,-0.040772,4.1932
0.42533,0.013088,0.41671,3.6334,-0.018974,4.1951
0.42895,0.013078,0.42091,3.612,-9.4409e-06,4.2012
0.43255,0.013086,0.42512,3.585,0.015104,4.2108
0.43612,0.013106,0.42933,3.5536,0.025564,4.223
0.43966,0.013134,0.43356,3.5189,0.030824,4.2368
0.44316,0.013165,0.43781,3.4824,0.030616,4.2511
0.44662,0.013193,0.44207,3.4454,0.024959,4.2647
0.45005,0.013212,0.44634,3.4094,0.014151,4.2766
0.45344,0.013219,0.45062,3.3756,-0.0012497,4.2856
0.4568,0.013208,0.45491,3.3453,-0.020457,4.291
0.46014,0.013176,0.4592,3.3191,-0.042503,4.292
0.46344,0.013122,0.46349,3.2979,-0.066292,4.288
